processo,ano,tribunal,comarca,autor_tipo,reu,setor,resultado,ganhou_autor,valor_condenacao,n_chars
0800359-87.2020.8.19.0008,2020,TJRJ,Belford Roxo,PESSOA FÍSICA,COMPANHIA ESTADUAL DE ÁGUAS E ESGOTAS - CEDAE,Saneamento,ACORDO HOMOLOGADO,,,866
0800360-35.2021.8.19.0203,2021,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,PROCEDENTE,True,6000.0,4305
0800364-86.2021.8.19.0069,2021,TJRJ,Iguaba Grande,PESSOA FÍSICA,03.563.689/0002-31 DECOLAR,Outros,IMPROCEDENTE,False,,5799
0800365-30.2020.8.18.0103,2020,TJPI,Matias Olímpio,PESSOA FÍSICA,TELEMAR NORTE LESTE,Telecomunicações,ACORDO HOMOLOGADO,,,2216
0800365-96.2022.8.19.0017,2022,TJRJ,Casimiro de Abreu,PESSOA FÍSICA,ATIVOS S.A. SECURITIZADORA DE CREDITOS FINANCEIROS,Banco e financeira,EXTINTO SEM MÉRITO,False,,2930
0800367-58.2022.8.19.0052,2022,TJRJ,Araruama,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,ACORDO HOMOLOGADO,,,764
0800367-72.2023.8.15.0751,2023,TJPB,Bayeux,PESSOA FÍSICA,MUNICIPIO DE BAYEUX,Poder público,EXTINTO SEM MÉRITO,False,10000.0,3130
0800368-20.2021.8.19.0071,2021,TJRJ,Porto Real e Quatis,PESSOA FÍSICA,SBF COMERCIO DE PRODUTOS ESPORTIVOS,Varejo e serviços,ACORDO HOMOLOGADO,,,2132
0800368-69.2020.8.20.5004,2020,TJRN,Natal,PESSOA FÍSICA,OI MOVEL,Telecomunicações,PARCIALMENTE PROCEDENTE,True,,7647
0800369-20.2020.8.19.0045,2020,TJRJ,Resende,PESSOA FÍSICA,AGUAS DAS AGULHAS NEGRAS,Saneamento,EXTINTO SEM MÉRITO,False,,3689
0800370-02.2023.8.10.0093,2023,TJMA,,PESSOA FÍSICA,BANCO BRADESCO SA E OUTROS,Banco e financeira,IMPROCEDENTE,False,,8298
0800372-29.2024.8.19.0014,2024,TJRJ,Campos dos Goytacazes,PESSOA FÍSICA,BARCELOS E CIA,Outros,ACORDO HOMOLOGADO,,,2294
0800372-64.2022.8.19.0025,2022,TJRJ,Itaocara,PESSOA FÍSICA,TIM CELULAR,Telecomunicações,IMPROCEDENTE,False,,2852
0800373-40.2021.8.19.0007,2021,TJRJ,Barra Mansa,PESSOA JURÍDICA,TELEFONICA BRASIL,Telecomunicações,ACORDO HOMOLOGADO,,,2050
